draw,all_cause,mental_disorder,cardiovascular,respiratory,self_harm
87,-595.1634630060307,-31.518779550271347,-192.1411094858411,-67.25373184296299,-1.8094229852731185
88,-550.6977717508498,-27.56426669177866,-191.5992724282244,-73.96265151383012,-5.220302769985158
89,-483.4678774209921,-28.76308254425437,-193.57269788510445,-75.01817724265292,-1.6511926471066172
90,-599.1555088129572,-18.930720867419616,-220.54445407075403,-73.95805861306397,-3.104640659841304
91,-602.2038956870215,-44.34365209543489,-208.44762127317136,-73.20385229508044,-2.7119003134002164
92,-325.14789205900183,-58.553819801868016,-196.87883555357988,-69.78035129634183,-2.006595814567642
93,-430.88806935283327,-51.816094880192075,-192.2965021997789,-73.9290366439034,-2.859214891634383
94,-388.29839050675986,-25.377405548882148,-198.13369157898595,-73.79148841615998,-1.9659760936401445
95,-432.48678259363726,-50.23746008813876,-207.25159528742094,-75.3744982265778,-2.8876769207361135
96,-443.79771787089254,-26.456829832821153,-204.0355581178487,-75.91800108237102,-2.39236313441592
97,-526.1512990731741,-50.74906650334891,-198.92832574935744,-77.18367127689767,-2.095853151130377
98,-359.3610200504669,-24.004958689429575,-197.97516282707036,-72.53858149681787,-2.7546913184050674
99,-549.3325675713997,-23.069928600893448,-195.66750358605086,-66.6889029191264,-1.0458801199134369
100,-516.1487186197068,-54.68524598654468,-198.6652551929664,-75.56184407072132,-2.0381905585458817
101,-430.86172147890767,-41.451838903884166,-175.38327923845662,-72.88513171981461,-3.1434865660536735
102,-407.13400584881117,-47.41127953404252,-200.64059763722446,-69.98527239357773,-2.9532633340437995
103,-555.407027780383,-35.58538477571564,-206.06808563068478,-71.70440108120187,-2.954637992017148
104,-516.427098526809,-26.448692569949976,-197.13649475636944,-73.47884039378482,-2.5709530120721698
105,-556.6188481592378,-52.02694615976618,-194.1262312143425,-75.75457896670655,-2.8745500799436
106,-436.1857988122618,-15.935795228034372,-197.8416318316038,-78.28522367737865,-1.6453828809410687
107,-413.30354828805935,-38.05169278009588,-176.7246729901198,-69.1894115830895,-2.5839153979421083
108,-464.73299150359486,-36.67704069671285,-206.75800093787564,-68.63065875357759,-2.395011729802397
109,-354.81525700057654,-41.788030087961694,-200.33834042976315,-70.81456390423082,-2.147150183178911
110,-391.15492455426715,-25.883307417433237,-197.21525164084522,-84.56140098879798,-2.6549133279309913
111,-460.31583431250215,-45.44902452620252,-199.5365004034016,-71.66998453570048,-1.3019153829224863
112,-512.2838780197425,-39.94958388844038,-192.50508825943152,-69.93907651790936,-2.1729715805397265
113,-454.7858459828101,-46.44242715134319,-196.6209674800701,-77.26606238505238,-3.1871497012122356
114,-364.97405404481697,-45.903375604533856,-210.04250323840932,-75.23225545349196,-2.1606240123907576
115,-286.60030435574083,-52.47186580474008,-202.31457793911284,-75.19734739521313,-3.925526494145492
116,-390.272236330236,-58.62602623779407,-203.49173655405815,-72.54254096991068,-2.4517909016841672
117,-490.21615020730485,-38.548459271226186,-187.18081612274247,-66.43464751849119,-1.8723470438369096
118,-553.6825544249469,-34.48037619409434,-191.45043419209426,-79.55563247003207,-3.6541045748836805
119,-445.66582609112777,-43.45023359076601,-203.585085319423,-74.9124196187549,-2.0816092524915017
120,-485.55721389573466,-29.308479101070862,-206.49697474804265,-68.76300242565378,-1.7317998784987199
121,-451.6288696719943,-46.00040284652417,-195.3841386852201,-73.1524216665435,-3.177317327245106
122,-503.9307600202158,-34.31702265624924,-203.1973363701387,-70.87273657803192,-3.094229173817829
123,-372.95631921704967,-15.971152245028728,-188.1503682426054,-74.85496029996783,-3.17647169206945
124,-439.3390172126209,-29.668127883195808,-203.62854780166927,-76.11035856660907,-4.5684096502176805
125,-559.1215629249078,-32.04729261643865,-200.71398185989565,-73.62611022315188,-1.7563431799766573
126,-546.3183802446655,-34.39685216453223,-195.8444056484714,-78.86848234735871,-2.0585823450928
127,-487.5460975811084,-42.06075757718863,-173.90682882499627,-69.92002800692606,-2.1109996972070153
128,-462.04517666214764,-30.76376328657302,-173.3276195426362,-63.98013457614667,-1.9304894493690747
129,-406.666635291849,-46.12518980050407,-190.6417826619741,-75.38100475789454,-2.7648070210432416
130,-599.7824071494457,-31.529230831654782,-184.98936226706334,-72.24037763431299,-1.676783650543113
131,-387.84780219113685,-22.434795518320474,-203.44378947319422,-68.55837228410965,-1.9681977075437347
132,-602.4576008775496,-44.249585706577285,-186.6840992906198,-72.82536659817916,-1.880529966454707
133,-444.0724012776105,-50.30391253857729,-194.83912111397274,-83.10646204104204,-3.1951262886716645
134,-438.8942897643555,-16.856528141505542,-204.25795439280847,-68.99401530369248,-2.1557341384453585
