draw,all_cause,mental_disorder,cardiovascular,respiratory,self_harm
101,-443.71118996736004,-42.7376166466904,-180.61352340314284,-75.08743184773711,-3.232838250253908
102,-419.2739514307867,-48.88281292475864,-206.62842395944008,-72.09947618758434,-3.0371946741901854
103,-571.984349652295,-36.68852572620928,-212.21884943212248,-73.8708264702556,-3.0386084964017974
104,-531.837032906388,-27.267823210937472,-203.01915187381087,-75.6991819171952,-2.6439957474767324
105,-573.2324716506422,-53.64250456508802,-199.91855756401839,-78.04408991479917,-2.9562390157139182
106,-449.19450190047746,-16.428797347005105,-203.7454506554549,-80.65167992033354,-1.692093160853214
107,-425.62795867366117,-39.23158913386015,-181.995124218803,-71.2794443329527,-2.657327202228705
108,-478.59568446837926,-37.814150927047415,-212.92948014592238,-70.70372340957901,-2.463045802501487
109,-365.3915098169898,-43.08428090064775,-206.31709423085672,-72.95395719227045,-2.2081306772467877
110,-402.81717662016786,-26.684880811287833,-203.10027227085808,-87.11881492394342,-2.730346747826245
111,-474.0463670745644,-46.859369573835345,-205.49118701337287,-73.8353643263725,-1.3388643938400546
112,-527.5697643601959,-41.188571972980114,-198.24877442645234,-72.05187721917734,-2.2346867568242854
113,-468.3509336812875,-47.88374608900144,-202.4881537648701,-79.6015270410944,-3.277745793224894
114,-375.85384709954116,-47.32788635715534,-216.3126141011183,-77.50588863424453,-2.221987866058237
115,-295.13937428728485,-54.10131439511507,-208.35265310699307,-77.46991947404511,-4.03718014559929
116,-401.9081034092638,-60.447733260211514,-209.5651500470317,-74.7344313230502,-2.5214411922263302
117,-504.8414416968542,-39.74382046871014,-192.76478638814987,-68.44103819382673,-1.925510678381708
118,-570.2082184940953,-35.54914009927527,-197.16247931536722,-81.96072719795335,-3.7580146206789276
119,-458.9580890313956,-44.79827612808186,-209.6613012454795,-77.17633094550669,-2.1407250884101447
120,-500.04306500613205,-30.216447729631895,-212.66061628450942,-70.8400859367275,-1.7809669951423905
121,-465.0995129615508,-47.427938872912605,-201.21420992823454,-75.36284389834498,-3.267633186809227
122,-518.9665743653991,-35.380705259305124,-209.26191174177492,-73.0138969643124,-3.1821771213047474
