draw,all_cause,mental_disorder,cardiovascular,respiratory,self_harm
26,-351.92460023561364,-25.105592191475825,-148.00883278101918,-56.289558174529844,-0.8907746317440018
27,-381.00295584185216,-28.262090341759542,-145.6756189060284,-55.07408393163753,-1.7603553392581928
28,-362.93135917594026,-43.67971052575821,-125.73840497125578,-57.08489059299475,-1.3502641825809898
29,-342.82741572749603,-27.604556176794183,-147.34550219641747,-50.29364314766101,-2.2461152902513875
30,-386.63946244628573,-34.71883746683925,-140.2588034310781,-56.977521647673235,-1.841621641547432
31,-395.3199724699099,-26.759065138294737,-132.44998631361375,-50.62113457071782,-0.5205324883606504
32,-283.4409463299081,-22.133847643145316,-133.52767100367998,-55.53189369566277,-1.384885642584497
33,-386.2739389227965,-23.35409232462582,-145.7948078266935,-53.729557916284044,-2.5426642709785208
34,-229.0475205113197,-27.02116873469077,-149.88055222856093,-55.02475426660005,-1.0120778905654553
35,-485.8853738953253,-23.162749744570032,-135.083131697805,-52.88438667117172,-1.5774393891075364
36,-416.67944376743856,-29.04301899712795,-148.30922592091318,-51.28133260355076,-2.0763337905030417
37,-419.86087938599655,-45.69385343208164,-157.5105229626348,-53.15718258845002,-0.9153407532668325
38,-401.5664061652166,-49.0203934561949,-158.0924692198524,-59.22662191623655,-0.30649375298167386
39,-342.826631333763,-13.541908152701913,-148.59409302560277,-57.05054949941653,-0.8841090153574278
40,-379.9764296665307,-17.86328314728802,-132.52288081689272,-50.30817181198762,-1.4510138801608796
41,-356.2331136488395,-26.272390852422895,-130.12346222735323,-50.06375224798199,-1.1637267147320867
42,-402.98763800142586,-33.819337396678165,-138.58845736096225,-53.543500763430615,-2.376705691182709
43,-357.9183929654094,-24.224039561822387,-134.5517792483008,-52.57446343214245,-0.9047091794887109
44,-417.63083959864224,-29.654927519060113,-137.81841561828108,-52.70606201917724,-2.163426385092399
45,-351.5327400399917,-36.14019392991504,-144.14027497826243,-53.01060459992105,-2.42086952535149
46,-346.2616171820485,-32.65777720585189,-143.48697116831997,-58.78466086928716,-2.032445781990178
47,-364.6782541502241,-26.63987721346316,-144.9947409746616,-56.94245462699698,-1.6696904794796237
48,-350.1817666867069,-32.08709409296473,-144.96331206517243,-56.289806816674016,-2.807241518758855
49,-302.4527523274856,-23.558825543703755,-131.50393181715515,-56.40797280467308,-0.7423084240579734
50,-336.0033701598606,-28.82852313870613,-149.30611747679413,-62.101197431482106,-1.2961085985149772
51,-328.9253371241393,-28.499130498995438,-138.41738227493443,-55.926226975805164,-1.9663500046736653
52,-272.07627907524807,-22.679094046071157,-139.63190091931511,-57.58971294899162,-2.3819796616641122
53,-367.45777623355394,-29.337180167531802,-141.78347664939008,-51.649535589699255,-3.7334084698888876
54,-374.48876853868717,-29.884376034622488,-148.25364895335784,-53.59079932989797,-2.599277657916657
55,-294.724665926479,-33.30611306488055,-144.15716445526073,-57.15098920696208,-0.27558645699678896
56,-407.61445484603723,-27.84166544023694,-136.14941293369733,-53.13476676795761,-0.7757575087035153
57,-361.99745505973493,-15.386074035529923,-134.46443277633267,-53.7421208972697,-1.164762861127915
58,-463.26613467776417,-7.8482805347380475,-142.86694234851194,-50.76581832463194,-2.6339075184651937
59,-339.77052344018745,-39.04803196849363,-158.09639556642796,-52.616310926323976,-1.134596852092271
60,-338.85159730625185,-24.08415828748317,-128.46306034609594,-61.877487434388065,-2.216220175845523
61,-301.4291049114321,-29.736085260958983,-136.2699798864921,-60.941997437208705,-1.8644785935424366
62,-465.9450341696004,-27.35938443340009,-141.0285462815003,-52.980656717807065,-2.8595784216065105
63,-419.2273423754429,-28.711922444793505,-138.83136826815152,-59.23883096747098,-2.159803419749431
